dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,silhouette_sampled,silhouette_n_used,silhouette_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds,_source_csv,_source_mtime,label_source_category,label_trust,is_ground_truth_labels,is_untrusted_labels,is_curated_labels,is_inferred_labels,is_synthetic,n_batches,zero_fraction,batch_silhouette,batch_silhouette_mixing,batch_knn_entropy,batch_metrics_mode,batch_metrics_n_used,batch_metrics_n_total,onboard_source_label_key,onboard_source_batch_key,onboard_source_label_ontology_key,onboard_source_label_ontology_nonnull_fraction,onboard_contract_label_key,onboard_contract_batch_key,ts2_ground_truth_evidence
scvi_pbmc12k,ae,nb,8,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199.0,1199.0,full,1199.0,1199.0,,none,664.9259176755369,60,2.090781211853028,56.29296875,0.6259730108932116,0.6827952994935538,0.3346344232559204,0.3346344232559204,0.2149006575345993,0.3375893186985998,0.0008005929774352,success,16.889718055725098,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,ae,nb,16,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199.0,1199.0,full,1199.0,1199.0,,none,675.6857436739275,60,2.102450370788574,56.3125,0.6411750299915113,0.6967258504464029,0.3376790583133697,0.3376790583133697,0.2553639709949493,0.3373868347109109,0.0008136159010429,success,16.906877756118774,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,ae,nb,16,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199.0,1199.0,full,1199.0,1199.0,,none,665.3162469171901,60,2.089601516723633,56.3125,0.6442243959527121,0.692007114779016,0.3724789321422577,0.3724789321422577,0.2726247012615204,0.3377644800463749,0.0007959353802892,success,16.99632453918457,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,ae,nb,24,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199.0,1199.0,full,1199.0,1199.0,,none,666.1259912231548,60,2.0854692459106445,56.33203125,0.6338372395361966,0.6831092828304073,0.3487322330474853,0.3487322330474853,0.3107971549034118,0.3382420406130774,0.000805224093151,success,16.932117700576782,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,ae,nb,32,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199.0,1199.0,full,1199.0,1199.0,,none,675.405914179378,60,2.084606170654297,56.3515625,0.6671446461353828,0.7354303235542881,0.3396965265274048,0.3396965265274048,0.2522526383399963,0.3373819220752095,0.0008087798276198,success,16.84230637550354,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,ae,nb,32,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199.0,1199.0,full,1199.0,1199.0,,none,662.520835641029,60,2.0806264877319336,56.3515625,0.6896424566224307,0.7320301472810088,0.2991876900196075,0.2991876900196075,0.2504424750804901,0.3366131373402275,0.0008017848747383,success,18.5637149810791,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,vae,nb,2,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-687.4292854010015,False,1199.0,1199.0,failed,1199.0,1199.0,,none,687.4143508262093,60,2.1151018142700195,56.28857421875,0.6029629381407217,0.6949730030282811,0.4835462570190429,0.4835462570190429,0.3178029358386993,0.3414090442796664,,success,18.922822952270508,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,vae,nb,2,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-686.2792072312051,False,1199.0,1199.0,full,1199.0,1199.0,,none,675.0785819237385,60,2.1196022033691406,56.28857421875,0.6279738149771514,0.7277213978399544,0.4680831432342529,0.4680831432342529,0.3383582532405853,0.3407335905754337,0.0008112434645304,success,19.337260246276852,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,ae,nb,24,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199.0,1199.0,full,1199.0,1199.0,,none,675.755567485437,60,2.082128524780273,56.33203125,0.6493147011813254,0.7138966820189462,0.332891583442688,0.332891583442688,0.2848507165908813,0.3375697316131162,0.0008131307593011,success,16.73861312866211,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,vae,nb,4,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-683.5625355317256,False,1199.0,1199.0,full,1199.0,1199.0,,none,672.8443671219343,60,2.100367546081543,56.302734375,0.5251428826790895,0.710163439083738,0.3421973884105682,0.3421973884105682,0.2968675196170807,0.3385847912568465,0.0008146162977669,success,19.044886827468872,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
