dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,vae,nb,12,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,677.495915165654,97,2.1443166732788086,56.359375,,,0.1896863728761673,0.1896863728761673,,0.3432907764558439,0.0025988954930282475,success,7.94231390953064
pbmc3k,vae,nb,16,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,683.5110762984665,100,2.140385627746582,56.3876953125,,,0.22901374101638794,0.22901374101638794,,0.34501446551746795,0.002482006887123906,success,8.473026275634766
pbmc3k,vae,nb,16,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,728.0592551902488,35,2.0990400314331055,56.3876953125,,,0.3069697320461273,0.3069697320461273,,0.35262032283677,0.0031466885925628104,success,3.53084659576416
pbmc3k,vae,nb,16,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,679.1142365632234,62,2.1302947998046875,56.3876953125,,,0.3060860335826874,0.3060860335826874,,0.3431526875054395,0.0029735665181122206,success,5.648313522338867
pbmc3k,vae,nb,20,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,690.9045496057581,60,2.147367477416992,56.416015625,,,0.31702589988708496,0.31702589988708496,,0.3485845413472917,0.002857126067363805,success,5.145919322967529
pbmc3k,vae,nb,20,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,723.8784586588541,34,2.1105709075927734,56.416015625,,,0.32211026549339294,0.32211026549339294,,0.3533584983260543,0.00327644663074694,success,3.167675018310547
pbmc3k,vae,nb,20,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,675.702180537471,100,2.149054527282715,56.416015625,,,0.1781291514635086,0.1781291514635086,,0.3404116153717041,0.0006283271802051447,success,8.509793281555176
pbmc3k,vae,nb,24,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,684.4608615451389,96,2.136798858642578,56.4443359375,,,0.23622798919677734,0.23622798919677734,,0.34302652654824434,0.003130388984977509,success,8.044008255004883
pbmc3k,vae,nb,24,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,726.8790843822338,56,2.0942487716674805,56.4443359375,,,0.304500937461853,0.304500937461853,,0.34588116539849173,0.0026845214920593833,success,5.1462929248809814
pbmc3k,vae,nb,24,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,676.9377350983797,62,2.1335506439208984,56.4443359375,,,0.29675227403640747,0.29675227403640747,,0.3441180129845937,0.003063372005674454,success,5.433789253234863
pbmc3k,vae,nb,32,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,683.7854501229746,95,2.1352930068969727,56.5009765625,,,0.23988093435764313,0.23988093435764313,,0.34477415636733727,0.002548414023212479,success,7.887407541275024
pbmc3k,vae,nb,32,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,719.5084644458911,57,2.1132898330688477,56.5009765625,,,0.31610721349716187,0.31610721349716187,,0.34355908742657415,0.0026449936386100585,success,5.049749135971069
pbmc3k,vae,nb,32,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,675.8525083188657,78,2.1210880279541016,56.5009765625,,,0.31407588720321655,0.31407588720321655,,0.34304519097010294,0.003266321231527749,success,6.790861129760742
pbmc3k,vae,nb,48,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,681.4172372323495,100,2.1601247787475586,56.6142578125,,,0.3081004023551941,0.3081004023551941,,0.34380894237094456,0.0026112039995997826,success,8.633816480636597
pbmc3k,vae,nb,48,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,724.1472552264178,28,2.078005790710449,56.6142578125,,,0.2978074252605438,0.2978074252605438,,0.3533899583198406,0.003325711626132492,success,2.688258409500122
pbmc3k,vae,nb,48,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,674.0090553566262,100,2.1538209915161133,56.6142578125,,,0.3229467570781708,0.3229467570781708,,0.3412721393284974,0.003140534435438434,success,8.43648099899292
pbmc3k,vae,nb,64,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,681.0551649305555,100,2.1542186737060547,56.7275390625,,,0.22451189160346985,0.22451189160346985,,0.3415183424949646,0.002779265271997155,success,8.387072801589966
pbmc3k,vae,nb,64,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,723.1807386610243,27,2.0651559829711914,56.7275390625,,,0.27113205194473267,0.27113205194473267,,0.3529852902447736,0.0033375941703024125,success,2.6229264736175537
pbmc3k,vae,nb,64,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,679.9123996310764,55,2.134982109069824,56.7275390625,,,0.37861040234565735,0.37861040234565735,,0.3425354368156857,0.0033934590039419728,success,5.1231770515441895
