dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,label_source_category,label_trust,onboard_source_label_key,onboard_source_batch_key,onboard_source_label_ontology_key,onboard_source_label_ontology_nonnull_fraction,onboard_contract_label_key,onboard_contract_batch_key,ts2_ground_truth_evidence,is_ground_truth_labels,is_untrusted_labels,is_curated_labels,is_inferred_labels,is_synthetic,n_batches,zero_fraction,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,calinski_harabasz,davies_bouldin,trustworthiness,continuity,silhouette_sampled,silhouette_n_used,silhouette_n_total,batch_silhouette,batch_silhouette_mixing,batch_knn_entropy,batch_metrics_mode,batch_metrics_n_used,batch_metrics_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
scvi_pbmc12k,vae,nb,8,9,11989,1199,test,2000,43,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8923990825688073,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,-683.7342633143179,305.3043738149704,1.1284663475597345,0.8381842131247073,0.775994829164242,False,1199,1199,-0.004595535341650248,0.004595535341650248,0.8671004366596476,full,1199,1199,full,1199,1199,,none,673.0185284713987,60,2.145843505859375,56.3310546875,0.5325433135397654,0.7063997160135902,0.3100758194923401,0.3100758194923401,0.25760430097579956,0.3386008789431959,0.000813207829304883,success,17.61262822151184
scvi_pbmc12k,vae,nb,16,9,11989,1199,test,2000,42,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8924562135112594,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,-682.7510448770786,391.6170028943556,1.013225032851663,0.8437878192644443,0.820487686001979,False,1199,1199,0.003958188928663731,-0.003958188928663731,0.8551989488774657,full,1199,1199,full,1199,1199,,none,683.6245104461237,60,2.1174354553222656,56.3876953125,0.6749427043730956,0.7788532332739816,0.3781284689903259,0.3781284689903259,0.3274557590484619,0.33824673091202007,0.0007228918558194941,success,17.946603298187256
scvi_pbmc12k,vae,nb,16,9,11989,1199,test,2000,43,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8923990825688073,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,-683.6680133428248,377.75381005865944,1.1037147667399412,0.8329528735463152,0.7793962082872027,False,1199,1199,-0.005994200706481934,0.005994200706481934,0.879687667612611,full,1199,1199,full,1199,1199,,none,672.8529922701698,60,2.131450653076172,56.3876953125,0.5221233390976009,0.7052996959234246,0.3448534309864044,0.3448534309864044,0.2945079803466797,0.3387647261462478,0.0007497369676679428,success,18.0825936794281
scvi_pbmc12k,vae,nb,24,9,11989,1199,test,2000,42,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8924562135112594,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,-682.4940498103889,311.2726928744141,1.1477790118818882,0.8430424458109158,0.785022363304433,False,1199,1199,0.0034239660017192364,-0.0034239660017192364,0.8676044006860957,full,1199,1199,full,1199,1199,,none,683.320923258803,60,2.120791435241699,56.4443359375,0.5191961434814966,0.7184932293460139,0.3048546612262726,0.3048546612262726,0.26988062262535095,0.33804561880054423,0.0008034456713452357,success,18.12147545814514
scvi_pbmc12k,vae,nb,24,9,11989,1199,test,2000,43,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8923990825688073,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,-683.3224741320893,343.09516849797694,0.9795640547807588,0.8363437485337978,0.7770226938345627,False,1199,1199,-0.0051828427240252495,0.0051828427240252495,0.8706198201128069,full,1199,1199,full,1199,1199,,none,672.6804076537577,60,2.1123456954956055,56.4443359375,0.6768763370782123,0.7525544756933656,0.3688182532787323,0.3688182532787323,0.30324187874794006,0.338560487972487,0.000817706465686797,success,18.12706232070923
scvi_pbmc12k,vae,nb,32,9,11989,1199,test,2000,42,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8924562135112594,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,-682.6108403018955,373.89913968132817,0.9285108784090497,0.8459260410823741,0.8156966797828304,False,1199,1199,0.0034499280154705048,-0.0034499280154705048,0.8551711398093197,full,1199,1199,full,1199,1199,,none,683.5006273029445,60,2.1082630157470703,56.5009765625,0.7029252472597066,0.7864498051564349,0.3738648295402527,0.3738648295402527,0.3236926794052124,0.33828523635764834,0.0007776295006441061,success,17.96479320526123
scvi_pbmc12k,vae,nb,32,9,11989,1199,test,2000,43,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8923990825688073,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,-684.4832843083755,428.3557902558161,0.975048858345832,0.8330261223843827,0.7829419842592029,False,1199,1199,-0.005049252416938543,0.005049252416938543,0.8774419818017918,full,1199,1199,full,1199,1199,,none,673.4628153873344,60,2.1267080307006836,56.5009765625,0.6600135959435498,0.7350411117151185,0.3865259885787964,0.3865259885787964,0.33381226658821106,0.3391590645603581,0.0007993488320808926,success,18.148986101150513
scvi_pbmc12k,scvi,nb,2,9,11989,1199,test,2000,42,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8924562135112594,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,-677.559814453125,2937.1615920228464,0.5950243994293005,0.8332474095051221,0.8315324343193915,False,1199,1199,-0.0005473458440974355,0.0005473458440974355,0.8601770116666229,full,1199,1199,full,1199,1199,,none,,60,,,0.6853547342888436,0.8000617009000589,0.5465273857116699,0.5465273857116699,0.4967610239982605,670.6675415039062,0.0008054132968626852,success,49.03260159492493
scvi_pbmc12k,scvi,nb,2,9,11989,1199,test,2000,43,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8923990825688073,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,-678.8873291015625,2850.1823465889333,0.6147533465219637,0.8257107623271281,0.8330373267955594,False,1199,1199,0.0029901117086410522,-0.0029901117086410522,0.8655584516930286,full,1199,1199,full,1199,1199,,none,,60,,,0.6412427083426784,0.7696198007273712,0.5296788811683655,0.5296788811683655,0.4727793335914612,672.1862182617188,0.0008144112791966518,success,47.009130239486694
scvi_pbmc12k,scvi,nb,4,9,11989,1199,test,2000,42,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8924562135112594,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,-677.4069213867188,722.0977878720163,0.921464276616538,0.8462761789316454,0.8448894929933914,False,1199,1199,0.005407631862908602,-0.005407631862908602,0.8473365101964941,full,1199,1199,full,1199,1199,,none,,60,,,0.6857410073468875,0.7949102279413932,0.42376846075057983,0.42376846075057983,0.3876861333847046,666.361572265625,0.0008126695390919103,success,46.91522693634033
