dataset,model_loss,latent_dim,mean_score,std_score,n
paul15,scvi:nb,16,0.31582428427686465,0.03983404331760363,3
paul15,scvi:nb,20,0.3240805237278381,0.04271370965647155,3
paul15,scvi:nb,24,0.2961647125478129,0.038960086865502126,3
paul15,scvi:nb,32,0.3293372497207568,0.017889682385923176,3
paul15,scvi:nb,48,0.3203159437763296,0.05971268347662343,3
paul15,scvi:nb,64,0.3144728142980571,0.026022824331535375,3
paul15,scvi:zinb,2,0.4020591430463618,0.014838296804587968,3
paul15,scvi:zinb,4,0.3394947854554647,0.02809532783286577,3
paul15,scvi:zinb,6,0.31998434227590883,0.045361206080325636,3
paul15,scvi:zinb,8,0.34092777707876687,0.01484668335048084,3
paul15,scvi:zinb,10,0.29361740955200005,0.03382941592652142,3
paul15,scvi:zinb,12,0.2968555684868793,0.037208019821430474,3
paul15,scvi:zinb,16,0.3174342475439895,0.03869425708344552,3
paul15,scvi:zinb,20,0.3379771462825243,0.01792408524350434,3
paul15,scvi:zinb,24,0.3352943121636331,0.048420467028755305,3
paul15,scvi:zinb,32,0.3165914511459487,0.03301531985421063,3
paul15,scvi:zinb,48,0.3103418485271042,0.04431557828581303,3
paul15,scvi:zinb,64,0.3192947146268705,0.04936931750421811,3
paul15,vae:mse,2,0.016355943400385667,0.0038663559505865194,3
paul15,vae:mse,4,0.0160400362249051,0.010214568125671963,3
paul15,vae:mse,6,0.014478719373290498,0.006960072196366662,3
paul15,vae:mse,8,0.012740641048617668,0.003180962212670946,3
paul15,vae:mse,10,0.013753994447085867,0.0032417599380344334,3
paul15,vae:mse,12,0.0153733184959561,0.008478554162810683,3
paul15,vae:mse,16,0.008409915231211132,0.006449559184274149,3
paul15,vae:mse,20,0.00928037612487726,0.008592629085159712,3
paul15,vae:mse,24,0.007824552218337767,0.007411230791725576,3
paul15,vae:mse,32,0.020509312332571635,0.008120337092034177,3
paul15,vae:mse,48,0.014401433234767965,0.005455373969009261,3
paul15,vae:mse,64,0.013839485703893033,0.002198532856220252,3
paul15,vae:nb,2,0.23599004209308339,0.017798953695659533,3
paul15,vae:nb,4,0.3035081335067514,0.06605781483106082,3
paul15,vae:nb,6,0.2866436301873392,0.010571639569755374,3
paul15,vae:nb,8,0.29020556290503524,0.05583833412714881,3
paul15,vae:nb,10,0.30436444454766565,0.03435671448235619,3
paul15,vae:nb,12,0.31107050910188855,0.02373604287824863,3
paul15,vae:nb,16,0.2880616290554601,0.0460186277136929,3
paul15,vae:nb,20,0.32358622497160683,0.04132801769763112,3
paul15,vae:nb,24,0.32518015060488165,0.037440403906623274,3
paul15,vae:nb,32,0.2877008238099416,0.006462346303343438,3
paul15,vae:nb,48,0.29811902544643215,0.031534613440918825,3
paul15,vae:nb,64,0.304231024071653,0.030909471434660038,3
paul15,vae:zinb,2,0.2556985835574825,0.01638618993401501,3
paul15,vae:zinb,4,0.30113037006485893,0.040292265245899836,3
paul15,vae:zinb,6,0.30661671791522305,0.04106647177561531,3
paul15,vae:zinb,8,0.31053639709080855,0.046858408523251516,3
paul15,vae:zinb,10,0.30758518358217285,0.04015020413992821,3
paul15,vae:zinb,12,0.3136026462424863,0.015111568662576532,3
paul15,vae:zinb,16,0.30408001799735523,0.0709555241673673,3
paul15,vae:zinb,20,0.3034068685643936,0.0508893198456956,3
paul15,vae:zinb,24,0.31312632798271794,0.0038978451678052307,3
paul15,vae:zinb,32,0.29244602811146464,0.05465383559448218,3
paul15,vae:zinb,48,0.3161533829657614,0.04381071215647838,3
paul15,vae:zinb,64,0.3307984201961305,0.03958374609586552,3
scvi_pbmc12k,ae:mse,2,0.6407414602487755,0.034446035211616696,2
scvi_pbmc12k,ae:mse,4,0.6453718051423465,0.02131241938383551,2
scvi_pbmc12k,ae:mse,8,0.6421981999977046,0.019220334794638087,2
scvi_pbmc12k,ae:mse,16,0.6806592629523297,0.020427847114451954,2
scvi_pbmc12k,ae:mse,24,0.6734678399366552,0.029359216189668635,2
scvi_pbmc12k,ae:mse,32,0.6791787900756266,0.03599552095964885,2
scvi_pbmc12k,ae:nb,2,0.511871498441234,0.07352489811972014,2
scvi_pbmc12k,ae:nb,4,0.5993173655562536,0.060008032764810273,2
scvi_pbmc12k,ae:nb,8,0.6367592474878258,0.015254042079068383,2
scvi_pbmc12k,ae:nb,16,0.6426997129721117,0.0021562273494844892,2
scvi_pbmc12k,ae:nb,24,0.641575970358761,0.01094421808482524,2
scvi_pbmc12k,ae:nb,32,0.6783935513789068,0.0159083543572414,2
scvi_pbmc12k,scvi:nb,2,0.6632987213157611,0.031191912678410424,2
scvi_pbmc12k,scvi:nb,4,0.6662135919395632,0.02761593570713133,2
scvi_pbmc12k,scvi:nb,8,0.569177324501322,0.07309630484627304,2
scvi_pbmc12k,scvi:nb,16,0.5358984255849695,0.003922297213714458,2
scvi_pbmc12k,scvi:nb,24,0.55665214751406,0.03894921984248561,2
scvi_pbmc12k,scvi:nb,32,0.57769402368337,0.051561038471798354,2
scvi_pbmc12k,vae:mse,2,0.0237800629440676,0.02996193087890254,2
scvi_pbmc12k,vae:mse,4,0.03090704236323745,0.040696665917876254,2
