dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,label_source_category,label_trust,onboard_source_label_key,onboard_source_batch_key,onboard_source_label_ontology_key,onboard_source_label_ontology_nonnull_fraction,onboard_contract_label_key,onboard_contract_batch_key,ts2_ground_truth_evidence,is_ground_truth_labels,is_untrusted_labels,is_curated_labels,is_inferred_labels,is_synthetic,n_batches,zero_fraction,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,calinski_harabasz,davies_bouldin,trustworthiness,continuity,silhouette_sampled,silhouette_n_used,silhouette_n_total,batch_silhouette,batch_silhouette_mixing,batch_knn_entropy,batch_metrics_mode,batch_metrics_n_used,batch_metrics_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,vae,mse,10,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.26786186628871494,184.6835949336967,1.358761031291631,0.5780718122702855,0.5494515125812836,False,270,270,,,,not_available,0,270,full,270,270,,none,0.25702805033436527,100,2.1828269958496094,34.533203125,,,0.19444307684898376,0.19444307684898376,,0.26779157982932195,0.0015841858353805279,success,7.706055641174316
pbmc3k,vae,mse,10,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2593941734896766,139.6244212088627,1.3708686904020224,0.5410828385637545,0.5598982188295165,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2691755950450897,65,2.147791862487793,34.533203125,,,0.19329984486103058,0.19329984486103058,,0.259297615731204,0.0013005706350573997,success,5.369293451309204
pbmc3k,vae,mse,10,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2639937107209806,106.18234460895287,1.4722363598599633,0.5385241730279897,0.5644698897370652,False,270,270,,,,not_available,0,270,full,270,270,,none,0.26186113975666186,82,2.1644973754882812,34.533203125,,,0.17637871205806732,0.17637871205806732,,0.2639196119926594,0.0007963156055484638,success,6.802047252655029
pbmc3k,vae,mse,12,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.26779737141397264,123.9813962048467,1.4640988855083075,0.5603703703703704,0.5686627085100368,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2570771365254014,88,2.1110401153564453,34.54736328125,,,0.16309314966201782,0.16309314966201782,,0.26768724498925384,0.0009343006737150032,success,6.8333740234375
pbmc3k,vae,mse,12,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2595428270322305,98.03036723254513,1.4349286176729783,0.5645744981622844,0.5754481198756007,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2693995354352174,73,2.155898094177246,34.54736328125,,,0.16351920366287231,0.16351920366287231,,0.2593292533247559,0.0011666539713682512,success,5.810592889785767
pbmc3k,vae,mse,12,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2640641358163622,204.41900255418508,1.2498131432528077,0.5563867684478372,0.5293638676844783,False,270,270,,,,not_available,0,270,full,270,270,,none,0.26192231134132105,100,2.192631721496582,34.54736328125,,,0.21033579111099243,0.21033579111099243,,0.26394822818261604,0.001975736885235479,success,7.617063760757446
pbmc3k,vae,mse,16,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2679223676522573,186.53252390326517,1.2637301131914365,0.5495985298275374,0.5595674300254453,False,270,270,,,,not_available,0,270,full,270,270,,none,0.25716498317541897,100,2.20849609375,34.57568359375,,,0.19414062798023224,0.19414062798023224,,0.26777026609138205,0.0018061790159177406,success,7.931642532348633
pbmc3k,vae,mse,16,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2594194725707725,251.75030651703645,1.2134030814278756,0.6039468476109697,0.606177551597399,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2694548957877689,100,2.191155433654785,34.57568359375,,,0.22583571076393127,0.22583571076393127,,0.25935878014123,0.0016859017675473324,success,7.9821765422821045
pbmc3k,vae,mse,16,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.26402530559787046,252.92313991430794,1.3249164964897822,0.5263302233531241,0.5288690981057393,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2620064037817496,100,2.1956787109375,34.57568359375,,,0.21898959577083588,0.21898959577083588,,0.26384423993251943,0.0019439787929561457,success,7.739719390869141
pbmc3k,vae,mse,20,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2681818940021374,153.43265731541834,1.4167858727631417,0.5544416171897087,0.5397653378569409,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2572777467745322,100,2.216123580932617,34.60400390625,,,0.19765089452266693,0.19765089452266693,,0.2680020820211481,0.001609077978690458,success,8.031912088394165
