model_loss,latent_dim,ari_mean,ari_std,ami_mean,sil_mean,sil_std,recon_mean,recon_std,n_seeds
ae:nb,4,0.23558467888195747,0.046122258444850205,0.43187306168328693,0.26997160911560053,0.005120122641318123,0.653216237040812,0.008552689671136196,3
ae:nb,6,0.22485495880183323,0.034649891590133805,0.42239419320699917,0.26158599058787024,0.03624696448869452,0.6568932969200451,0.010149407900915898,3
ae:nb,8,0.25149520424794275,0.06239431684410397,0.43367017671679137,0.26354603966077167,0.023990335892330048,0.6543261588565886,0.009306905905711428,3
ae:nb,10,0.24602207307562204,0.01835548680395786,0.43180494237196837,0.26923973858356476,0.022223303267137798,0.6550631210189745,0.01097991815763692,3
ae:nb,12,0.21852405029975838,0.03398568076360423,0.40620475207316736,0.23968679209550223,0.02005201328821032,0.6554092865287166,0.009846619008677754,3
ae:nb,16,0.23327378333333948,0.029516209997690272,0.4234246320652029,0.2712715615828832,0.0347716435362344,0.6571787940713513,0.012269394370108103,3
ae:nb,20,0.2555579338911595,0.05869795755645739,0.44110134262541373,0.24203891555468235,0.014021104275450122,0.6577821857181079,0.008389513801766689,3
ae:nb,24,0.25749641143683405,0.04769920207053904,0.44120840728353095,0.26092077791690826,0.014174073455541818,0.6576441963804802,0.011038824876524925,3
ae:nb,32,0.23528543039803204,0.04649040412733177,0.4300024657307911,0.24012267092863712,0.003964415904639841,0.6566431614796612,0.00969788511324394,3
ae:nb,48,0.25717373959892353,0.028751978692859687,0.4493057113367958,0.22825493415196738,0.010400416857695247,0.6548172212200142,0.009069228017414735,3
ae:nb,64,0.2554967845699429,0.053153321844121776,0.4401670678036136,0.23778425157070157,0.01274108474375791,0.6545923532001555,0.01002418003771294,3
ae:zinb,2,0.20368244205826144,0.034008565435471774,0.3691293102106162,0.3966875374317169,0.01958896768772323,0.6509755362957825,0.011686148525095393,3
ae:zinb,4,0.2239902989809197,0.03617790920913071,0.40606811392848713,0.3077621559302011,0.052798966000837874,0.6493913189249889,0.009413632050581633,3
