dataset,model_loss,latent_dim,mean_cv,std_cv
paul15,vae:nb,32,0.0031855721529383,6.423603974742772e-05
paul15,vae:nb,48,0.0031791099454289,0.00011225317560446348
paul15,vae:nb,64,0.003253797661639933,7.877290664581466e-05
paul15,vae:zinb,2,0.0026003028041937334,0.0008070358422857821
paul15,vae:zinb,4,0.0024773848541788,0.0014589075079523511
paul15,vae:zinb,6,0.0031147645518432333,7.54528913771696e-05
paul15,vae:zinb,8,0.0032530097647316333,4.8441005326229535e-05
paul15,vae:zinb,10,0.0031667001766611997,8.44403235424929e-05
paul15,vae:zinb,12,0.0032544327648807666,2.8081680488964532e-05
paul15,vae:zinb,16,0.0031487522512911666,7.34546978669003e-05
paul15,vae:zinb,20,0.0032392808686067,1.75638397445419e-05
paul15,vae:zinb,24,0.0031261989752171,0.00019063702246528138
paul15,vae:zinb,32,0.003158810349528567,0.00011817038087743205
paul15,vae:zinb,48,0.0032270751479991666,1.4524664774794787e-05
paul15,vae:zinb,64,0.003120205383976333,0.0002715559328001622
scvi_pbmc12k,ae:mse,2,0.00080035821195355,1.1304865755404396e-05
scvi_pbmc12k,ae:mse,4,0.0007989876821045501,9.111266424908265e-06
scvi_pbmc12k,ae:mse,8,0.0007945358151193,5.734385255358064e-07
scvi_pbmc12k,ae:mse,16,0.00078118674888845,1.5935275495367248e-05
scvi_pbmc12k,ae:mse,24,0.0007593349519004,5.039372689653103e-05
scvi_pbmc12k,ae:mse,32,0.00079833414377485,8.700161209212091e-06
scvi_pbmc12k,ae:nb,2,0.0008105020091505001,1.2918700104631014e-05
scvi_pbmc12k,ae:nb,4,0.00080271761315695,1.249545943884675e-05
scvi_pbmc12k,ae:nb,8,0.00080737387446255,9.589636541133826e-06
scvi_pbmc12k,ae:nb,16,0.0008047756406660499,1.2502016119850712e-05
scvi_pbmc12k,ae:nb,24,0.00080917742622605,5.590857251313801e-06
scvi_pbmc12k,ae:nb,32,0.00080528235117905,4.946178616589043e-06
scvi_pbmc12k,scvi:nb,2,0.0008099122880296,6.36253432536813e-06
scvi_pbmc12k,scvi:nb,4,0.00078563549015885,3.8231918646977316e-05
scvi_pbmc12k,scvi:nb,8,0.00077215809385515,4.897535945029176e-05
scvi_pbmc12k,scvi:nb,16,0.00075359989640805,8.704696923393192e-05
scvi_pbmc12k,scvi:nb,24,0.0007895067391802499,6.858657056593173e-06
scvi_pbmc12k,scvi:nb,32,0.0007563333051255499,6.4865115214330975e-06
scvi_pbmc12k,vae:mse,2,0.00072610548803945,1.882970255455295e-05
scvi_pbmc12k,vae:mse,4,0.0003862328824258,7.393031696850391e-05
scvi_pbmc12k,vae:mse,8,0.00021205211312369998,9.15630177656564e-06
scvi_pbmc12k,vae:mse,16,0.00045323142496265,4.824856877655847e-05
scvi_pbmc12k,vae:mse,24,0.00048143242230755,2.154228881483653e-05
scvi_pbmc12k,vae:mse,32,0.00047033558088885004,9.573631879424818e-05
scvi_pbmc12k,vae:nb,2,0.0008112434645304,
scvi_pbmc12k,vae:nb,4,0.0008146928615820001,1.0827758570152119e-07
scvi_pbmc12k,vae:nb,8,0.00075637761688175,8.037005716122126e-05
scvi_pbmc12k,vae:nb,16,0.00073631441174365,1.8982360629785707e-05
scvi_pbmc12k,vae:nb,24,0.00081057606851595,1.0083904383981402e-05
scvi_pbmc12k,vae:nb,32,0.0007884891663624499,1.535788654172864e-05
ts1_all_cells,ae:nb,8,0.0001866065283577,
ts1_all_cells,ae:nb,16,0.0001889506112643,
ts1_all_cells,ae:nb,24,0.000187336837029,
ts1_all_cells,ae:nb,32,0.000176370518154,
ts1_all_cells,scvi:nb,4,0.0001970117229936,
ts1_all_cells,scvi:nb,6,0.0001985922005205,
ts1_all_cells,scvi:nb,8,0.0001981937383128,1.2093595764490388e-06
ts1_all_cells,scvi:nb,10,0.0001973392383656,
ts1_all_cells,scvi:nb,12,0.0001977493405612,
ts1_all_cells,scvi:nb,16,0.00019856830639635,7.379118534606976e-08
ts1_all_cells,scvi:nb,24,0.00019813995279515,1.108277547819569e-07
ts1_all_cells,scvi:nb,32,0.00019812332095415,2.0771044240805912e-07
ts2_lung,scvi:nb,4,0.0001501213856502,
ts2_lung,scvi:nb,6,0.0001512461702611,
ts2_lung,scvi:nb,8,0.0001509794724387,5.615292652599591e-07
ts2_lung,scvi:nb,10,0.0001509694052922,
ts2_lung,scvi:nb,12,0.0001501570122495,
ts2_lung,scvi:nb,16,0.0001511421459357,5.749149263110725e-08
ts2_lung,scvi:nb,24,0.00015047138739800002,2.096962062097484e-07
ts2_lung,scvi:nb,32,0.0001508202674431,3.1501402649006786e-07
