dataset,model_type,loss_type,latent_dim,K,n_cells,n_genes,seed,batch_key,label_key,data_mode,git_commit,fit_formula_name,fit_score_r2,fit_rmse,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,ae,mse,24,9,2700,2000,43,,,in_memory,unknown,,,,0.26892774369981554,30,1519.73046875,34.833984375,0.0,0.0,0.0,0.26242165583151356,0.00016405659163687883,success,2.998920202255249
pbmc3k,ae,mse,24,9,2700,2000,44,,,in_memory,unknown,,,,0.26194371051258514,30,1524.46484375,34.833984375,-0.002294050570927921,0.0027881427094952065,-0.20388701558113098,0.2624841222498152,,success,3.1350502967834473
pbmc3k,vae,mse,4,9,2700,2000,42,,,in_memory,unknown,,,,0.25702780860441704,30,1630.046875,34.4306640625,0.001998593917880503,0.0011213784323716397,-0.07086487859487534,0.2624327241491388,0.00017501526657606706,success,4.819244861602783
pbmc3k,vae,mse,4,9,2700,2000,43,,,in_memory,unknown,,,,0.2690527004224283,30,1701.796875,34.4306640625,0.0007899207594486063,-0.000660640106897548,-0.14438220858573914,0.2625009020169576,0.0003658385646934212,success,3.263240337371826
pbmc3k,vae,mse,4,9,2700,2000,44,,,in_memory,unknown,,,,0.2619504359033373,30,1701.796875,34.4306640625,-0.000794211194048097,-0.0006606585066770902,-0.05715782940387726,0.26248985877743475,0.00030789666965594435,success,3.302564859390259
pbmc3k,vae,mse,8,9,2700,2000,42,,,in_memory,unknown,,,,0.2571168515417311,30,1701.796875,34.4501953125,-0.00034759066950978913,-0.0012346937217278776,-0.05777440965175629,0.2625156737698449,0.00016588415832005185,success,3.581833839416504
pbmc3k,vae,mse,8,9,2700,2000,43,,,in_memory,unknown,,,,0.2690633363193936,30,1701.796875,34.4501953125,-0.0005033444462223226,-0.0017968924761271362,-0.04679621011018753,0.26242631881325335,0.00017223385932594627,success,3.245034694671631
pbmc3k,vae,mse,8,9,2700,2000,44,,,in_memory,unknown,,,,0.2619571292841876,30,1701.796875,34.4501953125,-0.0008403970552303451,0.00044991645993094665,-0.0767010897397995,0.262462234850283,0.0002532212913156334,success,3.0394656658172607
pbmc3k,vae,mse,16,9,2700,2000,42,,,in_memory,unknown,,,,0.25706078167314883,30,1704.54296875,34.4892578125,-0.001124680436338458,-8.037797005178379e-05,-0.022062836214900017,0.26243017669077273,0.00016693911094579352,success,3.735156297683716
pbmc3k,vae,mse,16,9,2700,2000,43,,,in_memory,unknown,,,,0.2690897676679823,30,1714.33984375,34.4892578125,0.0021674118539465733,0.0008513703663159738,-0.053787026554346085,0.2624576311641269,0.0002784244565290312,success,3.295273542404175
pbmc3k,vae,mse,16,9,2700,2000,44,,,in_memory,unknown,,,,0.26200743450058833,30,1714.33984375,34.4892578125,-0.0005187963759980351,0.0012293805696959954,-0.07217153161764145,0.2625536332748554,0.00013927406887413298,success,3.3406834602355957
pbmc3k,vae,mse,24,9,2700,2000,42,,,in_memory,unknown,,,,0.25712931663901717,30,1714.33984375,34.5283203125,-0.0004823120460001437,-7.989266550912632e-05,-0.0511392205953598,0.26247249373683224,0.00026930140467308085,success,3.512446403503418
pbmc3k,vae,mse,24,9,2700,2000,43,,,in_memory,unknown,,,,0.26899970107608373,30,1714.33984375,34.5283203125,-0.0009397062911374256,0.0009412785290657411,-0.15396414697170258,0.26247104251826253,0.00022353595721904873,success,3.2733781337738037
pbmc3k,vae,mse,24,9,2700,2000,44,,,in_memory,unknown,,,,0.261990056876783,30,1714.33984375,34.5283203125,-0.0010135019106211546,-0.001200802731702638,-0.15255548059940338,0.2624092380647306,0.00015246929900229096,success,3.691696882247925
pbmc3k,scvi,nb,4,9,2700,2000,42,,,in_memory,unknown,,,,,30,,,0.5805234726124462,0.7092903625160905,0.2540411055088043,652.93603515625,0.0003648867072648108,success,39.72085499763489
