dataset,model_loss,latent_dim,mean_reconstruction_loss,mean_score,n
paul15,vae:zinb,16,0.6482128457999783,0.30408001799735523,3
paul15,vae:zinb,20,0.6482134879144849,0.3034068685643936,3
paul15,vae:zinb,24,0.6477672171680046,0.31312632798271794,3
paul15,vae:zinb,32,0.6483112661684244,0.29244602811146464,3
paul15,vae:zinb,48,0.648288805770059,0.3161533829657614,3
paul15,vae:zinb,64,0.6482892553884905,0.3307984201961305,3
scvi_pbmc12k,ae:mse,2,0.34084577931773175,0.6407414602487755,2
scvi_pbmc12k,ae:mse,4,0.3357346000723087,0.6453718051423465,2
scvi_pbmc12k,ae:mse,8,0.3336417999885995,0.6421981999977046,2
scvi_pbmc12k,ae:mse,16,0.33310738638403814,0.6806592629523297,2
scvi_pbmc12k,ae:mse,24,0.33317719102900056,0.6734678399366552,2
scvi_pbmc12k,ae:mse,32,0.3329150119456179,0.6791787900756266,2
scvi_pbmc12k,ae:nb,2,0.34147587965387816,0.511871498441234,2
scvi_pbmc12k,ae:nb,4,0.33827596026673923,0.5993173655562536,2
scvi_pbmc12k,ae:nb,8,0.3377934842556093,0.6367592474878258,2
scvi_pbmc12k,ae:nb,16,0.3375756573786429,0.6426997129721117,2
scvi_pbmc12k,ae:nb,24,0.3379058861130968,0.641575970358761,2
scvi_pbmc12k,ae:nb,32,0.3369975297077185,0.6783935513789068,2
scvi_pbmc12k,scvi:nb,2,671.4268798828125,0.6632987213157611,2
scvi_pbmc12k,scvi:nb,4,667.0157470703125,0.6662135919395632,2
scvi_pbmc12k,scvi:nb,8,664.1533508300781,0.569177324501322,2
scvi_pbmc12k,scvi:nb,16,661.9210205078125,0.5358984255849695,2
scvi_pbmc12k,scvi:nb,24,661.4591369628906,0.55665214751406,2
scvi_pbmc12k,scvi:nb,32,661.1241760253906,0.57769402368337,2
scvi_pbmc12k,vae:mse,2,0.4037041718309575,0.0237800629440676,2
scvi_pbmc12k,vae:mse,4,0.4037242450373087,0.03090704236323745,2
scvi_pbmc12k,vae:mse,8,0.4038461388599087,0.01827799435465025,2
scvi_pbmc12k,vae:mse,16,0.4036913975464293,0.0194208223539148,2
scvi_pbmc12k,vae:mse,24,0.403677363150611,0.020502084583984698,2
scvi_pbmc12k,vae:mse,32,0.4037541280173579,0.022499768706625248,2
scvi_pbmc12k,vae:nb,2,0.34107131742755004,0.6154683765589366,2
scvi_pbmc12k,vae:nb,4,0.3384417882181387,0.5530288144633372,2
scvi_pbmc12k,vae:nb,8,0.3383050746625418,0.5283458725957599,2
scvi_pbmc12k,vae:nb,16,0.3385057285291339,0.5985330217353482,2
scvi_pbmc12k,vae:nb,24,0.33830305338651556,0.5980362402798545,2
scvi_pbmc12k,vae:nb,32,0.3387221504590032,0.6814694216016282,2
ts1_all_cells,ae:nb,8,0.2113888554619838,0.0075996458963861,1
ts1_all_cells,ae:nb,16,0.2088949963572562,0.0078098258390874,1
ts1_all_cells,ae:nb,24,0.2139337083227795,0.0070950890502729,1
ts1_all_cells,ae:nb,32,0.2049097341756491,0.0054675712487034,1
ts1_all_cells,scvi:nb,4,285.8822631835937,0.2387640297294938,1
ts1_all_cells,scvi:nb,6,282.175048828125,0.2643031220524316,1
ts1_all_cells,scvi:nb,8,278.5538635253906,0.2676840830828185,2
ts1_all_cells,scvi:nb,10,278.1000061035156,0.2703901399451687,1
ts1_all_cells,scvi:nb,12,276.550048828125,0.2666423960120172,1
ts1_all_cells,scvi:nb,16,274.7942352294922,0.26436728992796177,2
ts1_all_cells,scvi:nb,24,272.10520935058594,0.25609456573439837,2
ts1_all_cells,scvi:nb,32,271.78594970703125,0.2614299746312218,2
ts2_lung,scvi:nb,4,5891.90478515625,0.3709785844589283,1
ts2_lung,scvi:nb,6,5869.140625,0.3834108191233905,1
ts2_lung,scvi:nb,8,5843.811767578125,0.4126876232588801,2
ts2_lung,scvi:nb,10,5851.7431640625,0.3998796504740608,1
ts2_lung,scvi:nb,12,5847.39453125,0.430245140388703,1
ts2_lung,scvi:nb,16,5829.875,0.3895162910922433,2
ts2_lung,scvi:nb,24,5827.4951171875,0.38796426594746836,2
ts2_lung,scvi:nb,32,5826.5205078125,0.38706357269832725,2
